"","SealID","Segment","d13C","d15N","Nubbin","WhiskerRow","WhiskerColumn","LengthRecovery","DistanceFromTip","DeploymentDate","RecoveryDate","X","Linf","k","DateWhenSegmentGrew","DeploymentDuration","SealDate","SevenDayAvg_d13C","SevenDayAvg_d15N","Lat","Lon","DaysSinceDeployment","Lon360","FiveDayDriftRate","ReprState"
"66","4179",9,-17.35,15.38,"yes",3,2,7.9,3.1,2015-06-03,2016-02-01,"",9.83,0.00669925486107935,2015-07-29,243,"4179-2015-07-29",-17.35,15.38,45.5592027963419,-145.324064815549,56.5531239456987,-145.324064815549,-0.229539682539683,"Pregnant"
"67","4179",10,-17.44,15.31,"yes",3,2,7.9,2.6,2015-06-03,2016-02-01,"",9.83,0.00669925486107935,2015-07-18,243,"4179-2015-07-18",-17.44,15.31,47.0637086693741,-144.838431970857,45.8558308884667,-144.838431970857,-0.273747863247863,"Pregnant"
"68","4179",11,-17.49,15.64,"yes",3,2,7.9,2.2,2015-06-03,2016-02-01,"",9.83,0.00669925486107935,2015-07-10,243,"4179-2015-07-10",-17.49,15.64,47.725220214349,-141.933385337698,37.8178012504953,-141.933385337698,-0.267371428571429,"Pregnant"
"69","4209",3,-17.13,15.14,"yes",3,2,8.4,6.5,2016-06-02,2017-01-27,"",9.83,0.00806596020873331,2016-10-14,239,"4209-2016-10-14",-17.13,15.14,49.2996249296755,-131.370774111996,134.201831171286,-131.370774111996,-0.197319230769231,"Pregnant"
"70","4209",2,-17.18,15.1,"yes",3,2,8.4,6.9,2016-06-02,2017-01-27,"",9.83,0.00806596020873331,2016-10-30,239,"4209-2016-10-30",-17.18,15.1,51.208259211187,-132.374097733356,150.067255454535,-132.374097733356,-0.205160714285714,"Pregnant"
"71","4209",12,-16.78,16.05,"yes",3,2,8.4,2.7,2016-06-02,2017-01-27,"",9.83,0.00806596020873331,2016-07-11,239,"4209-2016-07-11",-16.78,16.05,50.1291617365081,-131.336940697455,39.8127056695852,-131.336940697455,-0.361720779220779,"Pregnant"
"72","4209",13,-18.37,15.76,"yes",3,2,8.4,2.2,2016-06-02,2017-01-27,"",9.83,0.00806596020873331,2016-07-03,239,"4209-2016-07-03",-18.37,15.76,47.1183374054442,-125.451865020889,31.4099105756068,-125.451865020889,-0.274733333333333,"Pregnant"
"73","4209",14,-17.57,15.09,"yes",3,2,8.4,1.7,2016-06-02,2017-01-27,"",9.83,0.00806596020873331,2016-06-25,239,"4209-2016-06-25",-17.6,15.225,41.9138088309116,-127.1819599621,23.5406579856133,-127.1819599621,-0.250833333333333,"Pregnant"
"74","4209",15,-17.63,15.36,"yes",3,2,8.4,1.3,2016-06-02,2017-01-27,"",9.83,0.00806596020873331,2016-06-19,239,"4209-2016-06-19",-17.63,15.36,37.350032762111,-125.225351685316,17.5861979212253,-125.225351685316,0.00995833333333333,"Pregnant"
"75","4209",6,-17.4,14.89,"yes",3,2,8.4,5.3,2016-06-02,2017-01-27,"",9.83,0.00806596020873331,2016-09-06,239,"4209-2016-09-06",-17.4,14.89,49.4385920849412,-135.383828976147,96.0477084706337,-135.383828976147,-0.282202922077922,"Pregnant"
